,Facility Name,Miles,Address,Phone Number,Adult Availability,Adolescent Availability,Female Availability,Male Availability,Transgender Availability,Next Availability,Adult Beds
26,Ramon Velez Recovery Center OTP Opioid Outpatient Treatment,1.19 Miles,"911 Walton Ave Bronx, NY 10452-9554",347-352-2435,,,,,,(Please Call for Appointment),
27,Rec Ctr at Belvis Diagnostic & TC OP Outpatient Clinic,1.2 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-579-4061,True,False,,,,(Please Call for Appointment),
28,Alcoholism & Sub. Abuse Treatment OP Outpatient Clinic,1.2 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-694-9400,True,False,,,,(Please Call for Appointment),
29,"Osborne Treatment Services, Inc OP Outpatient Clinic",1.2 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-707-2679,True,False,,,,(Please Call for Appointment),
30,Lorraine Montenegro Women/Children IR Intensive Residential,1.24 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-292-9808,,,True,False,True,04/12/2023,8
31,"Argus Community, Inc. OP 1 Outpatient Clinic",1.27 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-234-1660,True,True,,,,(Please Call for Appointment),
32,Odyssey House Inc. CR Community Residential,1.31 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-378-4520,,,True,True,False,04/13/2023,21
33,La Casita III-The Mix IR 1 Intensive Residential,1.35 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-742-0082,,,True,False,True,04/12/2023,2
34,Mary S. Taylor Homeless Outreach RRi 820 Residential Reintegration,1.5 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-690-4625,,,False,True,False,04/12/2023,17
35,START Txt & Recovery Cntrs OTP Opioid Outpatient Treatment,1.51 Miles,"911 Walton Ave Bronx, NY 10452-9554",800-211-0996,,,,,,(Please Call for Appointment),
36,Anxiety Disorders Clinic - Gambling Gambling Outpatient,1.56 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-308-5565,True,True,,,,(Please Call for Appointment),
37,Bronx Recovery Support Center OP Outpatient,1.56 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-889-5500,True,False,,,,(Please Call for Appointment),
38,Clinic 1 OTP Opioid Outpatient Treatment,1.66 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-774-3230,,,,,,(Please Call for Appointment),
39,Harlem No. 2 OTP Opioid Outpatient Treatment,1.66 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-774-3200,,,,,,(Please Call for Appointment),
40,Harlem No. 6/7 OTP Opioid Outpatient Treatment,1.66 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-774-3273,,,,,,(Please Call for Appointment),
41,"Odyssey House, Inc. OP Outpatient Clinic",1.69 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-860-2994,True,True,,,,(Please Call for Appointment),
42,"PROMESA, Inc. MTA-R MAOT-A-Residential",1.71 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-299-1100,,,False,True,False,04/12/2023,49
43,PROMESA Inc. MSW-IP Med Sup Withdrawal - Inpatient,1.71 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-299-1100,,,True,True,True,04/11/2023,23
44,PROMESA Inc. IP Inpatient Rehabilitation,1.71 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-299-1100,,,True,True,True,04/11/2023,4
45,"PROMESA, Inc. OP 4 Outpatient Clinic",1.71 Miles,"911 Walton Ave Bronx, NY 10452-9554",347-649-3011,True,False,,,,(Please Call for Appointment),
46,"PROMESA, Inc. OTP 3 Opioid Outpatient Treatment",1.71 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-299-1100,,,,,,(Please Call for Appointment),
47,Clinic 8 OTP Opioid Outpatient Treatment,1.73 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-864-8177,,,,,,(Please Call for Appointment),
48,Montefiore Medical Center OTP 2 Opioid Outpatient Treatment,1.73 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-665-7500,,,,,,(Please Call for Appointment),
49,"PROMESA, Inc. RRSY Residential Rehab for Youth",1.75 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-299-1100,,,False,True,False,04/11/2023,32
50,REACH Program OP Outpatient Clinic,1.76 Miles,"911 Walton Ave Bronx, NY 10452-9554",800-211-0996,True,False,,,,(Please Call for Appointment),
51,Starting Point Clinic OTP Opioid Outpatient Treatment,1.76 Miles,"911 Walton Ave Bronx, NY 10452-9554",800-211-0996,,,,,,(Please Call for Appointment),
52,Kaleidoscope Clinic OTP Opioid Outpatient Treatment,1.76 Miles,"911 Walton Ave Bronx, NY 10452-9554",800-211-0996,,,,,,(Please Call for Appointment),
53,Samaritan Daytop Village/Harlem OP 1 Outpatient Clinic,1.78 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-865-9182,True,True,,,,(Please Call for Appointment),
54,CTI Harlem OP Outpatient Clinic,1.82 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-360-7116,True,False,,,,(Please Call for Appointment),
55,"Bailey House, Inc. OP Outpatient Clinic",1.85 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-289-6008,True,False,,,,(Please Call for Appointment),
56,Harlem East Life Plan OTP 1 Opioid Outpatient Treatment,1.87 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-876-2300,,,,,,(Please Call for Appointment),
57,Harlem East Life Plan OTP Opioid Outpatient Treatment,1.87 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-876-2300,,,,,,(Please Call for Appointment),
58,Odyssey Manor IR 2 Intensive Residential,1.88 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-987-5118,,,False,True,False,04/13/2023,65
59,Odyssey Ward's Island SRR 1 820 Stabil Rehab Reintegration,1.88 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-426-6684,,,True,True,False,04/13/2023,20
60,"Odyssey House, Inc. IR 6 Intensive Residential",1.98 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-987-5118,,,False,False,False,04/13/2023,0
61,"Greenhope Services for Women, Inc. SRR 820 Stabil Rehab Reintegration",2.05 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-360-4002,,,True,False,True,04/12/2023,39
62,VIP Community Services RR 820 Rehab and Reintegration,2.08 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-583-5150,,,False,True,True,04/12/2023,3
63,VIP Community Services SRR 820 Stabil Rehab Reintegration,2.08 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-583-5150,,,True,True,True,04/12/2023,6
64,VIP Community Services OP Outpatient Clinic,2.09 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-583-5150,True,False,,,,(Please Call for Appointment),
65,"VIP Community Services, Inc. OTP Opioid Outpatient Treatment",2.09 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-583-5150,,,,,,(Please Call for Appointment),
66,Montefiore Medical Center OP Outpatient Clinic,2.12 Miles,"911 Walton Ave Bronx, NY 10452-9554",917-564-8763,True,False,,,,(Please Call for Appointment),
67,Montefiore Medical Center OTP 1 Opioid Outpatient Treatment,2.12 Miles,"911 Walton Ave Bronx, NY 10452-9554",917-564-8750,,,,,,(Please Call for Appointment),
68,"Lower East Side Service Center, Inc OP Outpatient Clinic",2.21 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-343-3520,True,False,,,,(Please Call for Appointment),
69,Care Counseling Center LLC OP Outpatient Clinic,2.22 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-602-1400,True,False,,,,(Please Call for Appointment),
70,Harlem East Life Plan (HELP) OP Outpatient Clinic,2.23 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-876-2300,True,False,,,,(Please Call for Appointment),
71,"Exodus Transitional Community, Inc. OP Outpatient Clinic",2.23 Miles,"911 Walton Ave Bronx, NY 10452-9554",917-492-0990,True,False,,,,(Please Call for Appointment),
72,Third Horizon Clinic OTP Opioid Outpatient Treatment,2.23 Miles,"911 Walton Ave Bronx, NY 10452-9554",800-211-0996,,,,,,(Please Call for Appointment),
73,"Create, Inc. OP Outpatient Clinic",2.27 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-663-1596,True,True,,,,(Please Call for Appointment),
74,"MIH Experience, LTD. OP Outpatient Clinic",2.35 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-928-2020,True,False,,,,(Please Call for Appointment),
75,"Create, Inc. RR 820 Rehab and Reintegration",2.4 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-678-4990,,,False,True,False,04/12/2023,8
76,Cntr for Comprhnsiv Hlth Practice OP Outpatient Clinic,2.42 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-360-7768,True,True,,,,(Please Call for Appointment),
77,St. Barnabas Hospital OP Outpatient Clinic,2.43 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-960-6588,True,False,,,,(Please Call for Appointment),
78,St. Barnabas Hospital MMD Medical Managed Detoxification,2.51 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-960-6636,,,True,True,True,04/12/2023,7
79,"The PAC Program of the Bronx, Inc OP Outpatient Clinic",2.52 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-328-2605,True,True,,,,(Please Call for Appointment),
80,St. Barnabas Hospital OTP Opioid Outpatient Treatment,2.6 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-960-6307,,,,,,(Please Call for Appointment),
81,Upper Manhattan MH Center CR Community Residential,2.63 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-598-1390,,,True,True,False,04/13/2023,2
82,"Palladia, Inc. RR 820 Residential Reintegration",2.63 Miles,"911 Walton Ave Bronx, NY 10452-9554",646-632-3920,,,False,True,False,04/13/2023,3
83,Vida Family Services OP Outpatient Clinic,2.67 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-289-1004,True,False,,,,(Please Call for Appointment),
84,"Inwood Community Services, Inc. OP Outpatient Clinic",2.76 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-942-0043,True,True,,,,(Please Call for Appointment),
85,Veritas House RRi 820 Residential Reintegration,2.77 Miles,"911 Walton Ave Bronx, NY 10452-9554",646-790-7364,,,True,True,True,04/12/2023,9
86,Samaritan Daytop Village Inc. IR 4 Intensive Residential,2.77 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-222-5150,,,True,False,False,04/12/2023,18
87,The Center for Wellness and Change OP Outpatient Clinic,2.79 Miles,"911 Walton Ave Bronx, NY 10452-9554",212-663-3000,True,False,,,,(Please Call for Appointment),
88,"T.R.I. Center, Inc. OP 1 Outpatient Clinic",2.85 Miles,"911 Walton Ave Bronx, NY 10452-9554",718-584-7204,True,False,,,,(Please Call for Appointment),
