,CategoryName,ServiceName,FacilityName,BuildingNumber,Address,Address2,Borough,Latitude,ZipCode,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Website,CategoriesServicesID,FacilityID
10,Drug and Alcohol Services,Syringe Service Programs,Community Health Action of Staten Island: Syringe Service Programs,,Canal St and Broad St,,Staten Island,40.6246433,10304,-74.0796272,(718) 808-1815,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,12:30 PM - 3:00 PM,,,,,,"<a href=""chasiny.org"">Visit this organization's website</a>",3,232053616
11,Drug and Alcohol Services,Syringe Service Programs,Community Health Action of Staten Island: Syringe Service Programs,,425 Bay St,,Staten Island,40.6314943,10304,-74.0756332,(718) 808-1815,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,7:00 AM - 11:30 AM,,,,,,"<a href=""chasiny.org"">Visit this organization's website</a>",3,232053617
12,Drug and Alcohol Services,Syringe Service Programs,Community Health Action of Staten Island: Syringe Service Programs,,"166 Port Richmond Avenue, 1st floor",,Staten Island,40.6371739,10302,-74.1344102,(718) 808-1815,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,"<a href=""chasiny.org"">Visit this organization's website</a>",3,232053618
13,Drug and Alcohol Services,Syringe Service Programs,Community Health Action of Staten Island: Syringe Service Programs,,56 Bay Street,,Staten Island,40.6407076,10301,-74.0759545,(718) 808-1815,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,,,"<a href=""chasiny.org"">Visit this organization's website</a>",3,232053619
14,Drug and Alcohol Services,Syringe Service Programs,Family Services Network of NY: Syringe Service Programs,,Livonia Ave and Williams Ave,,Brooklyn,40.6642137,11207,-73.8977792,718-455-8396 / 718-573-3358,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,1:00 PM - 4:00 PM,,1:00 PM - 4:00 PM,,,,,"<a href=""fsnny1.org"">Visit this organization's website</a>",3,232053620
15,Drug and Alcohol Services,Syringe Service Programs,Family Services Network of NY: Syringe Service Programs,,Linden Blvd and Fountain Ave,,Brooklyn,40.6666915,11208,-73.8717349,718-455-8396 / 718-573-3358,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,1:00 PM - 4:00 PM,,1:00 PM - 4:00 PM,,,,,"<a href=""fsnny1.org"">Visit this organization's website</a>",3,232053621
16,Drug and Alcohol Services,Syringe Service Programs,Family Services Network of NY: Syringe Service Programs,,"1721 Pitkin Avenue, first Floor",,Brooklyn,40.6699749,11212,-73.9096398,718-455-8396 / 718-573-3358,,/Date(-2208970800000)/,/Date(-2208970800000)/,12:00 PM - 4:00 PM,8:00 AM - 4:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,,,"<a href=""fsnny1.org"">Visit this organization's website</a>",3,232053622
17,Drug and Alcohol Services,Syringe Service Programs,Family Services Network of NY: Syringe Service Programs,,1751 Broadway,,Brooklyn,40.6829835,11207,-73.9103776,718-455-8396 / 718-573-3358,,/Date(-2208970800000)/,/Date(-2208970800000)/,12:00 PM - 4:00 PM,8:00 AM - 7:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,,,"<a href=""fsnny1.org"">Visit this organization's website</a>",3,232053623
18,Drug and Alcohol Services,Syringe Service Programs,Family Services Network of NY: Syringe Service Programs,,Foch Blvd and Long St,,Queens,40.6837277,11434,-73.7846811,718-455-8396 / 718-573-3358,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,1:00 PM - 4:00 PM,,1:00 PM - 4:00 PM,,,,"<a href=""fsnny1.org"">Visit this organization's website</a>",3,232053624
19,Drug and Alcohol Services,Syringe Service Programs,Family Services Network of NY: Syringe Service Programs,,192-16 Linden Boulevard,,Queens,40.692526,11412,-73.759184,718-455-8396 / 718-573-3358,,/Date(-2208970800000)/,/Date(-2208970800000)/,,12:00 PM - 4:00 PM,,12:00 PM - 4:00 PM,12:00 PM - 4:00 PM,,,"<a href=""fsnny1.org"">Visit this organization's website</a>",3,232053625
20,Drug and Alcohol Services,Syringe Service Programs,Harlem United: Syringe Service Programs,,290 Lenox Avenue,,Manhattan,40.8073914,10027,-73.9452863,212-924-3733 x1259,,/Date(-2208970800000)/,/Date(-2208970800000)/,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,8:30 AM - 4:30 PM,,,"<a href=""https://www.harlemunited.org/frostd/"">Visit this organization's website</a>",3,232053626
21,Drug and Alcohol Services,Syringe Service Programs,Housing Works: Syringe Service Programs,,"2640 Pitkin Avenue, 1st floor",,Brooklyn,40.6747831,11208,-73.8748472,(212) 966-0466 x4506,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,11:00 AM - 3:00 PM,,"<a href=""housingworks.org"">Visit this organization's website</a>",3,232053627
22,Drug and Alcohol Services,Syringe Service Programs,Housing Works: Syringe Service Programs,,"743 East 9 Street, Adult Day Health Center",,Manhattan,40.7246291,10009,-73.9759889,(212) 966-0466 x4506,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,11:00 AM - 3:00 PM,,"<a href=""housingworks.org"">Visit this organization's website</a>",3,232053628
23,Drug and Alcohol Services,Syringe Service Programs,New York Harm Reduction Educators: Syringe Service Programs,,East 126th Street & 3rd Avenue,,Manhattan,40.8043683,10035,-73.9353288,877-886-9473/718-842-6050,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,,,,,9:00 AM - 1:00 PM,,"<a href=""nyhre.org"">Visit this organization's website</a>",3,232053629
24,Drug and Alcohol Services,Syringe Service Programs,New York Harm Reduction Educators: Syringe Service Programs,,104 East 126 Street,,Manhattan,40.805518,10035,-73.938066,877-886-9473/718-842-6050,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,"<a href=""nyhre.org"">Visit this organization's website</a>",3,232053630
25,Drug and Alcohol Services,Syringe Service Programs,New York Harm Reduction Educators: Syringe Service Programs,,LaFontaine Ave and East Tremont Ave,,Bronx,40.8464771,10457,-73.8942693,877-886-9473/718-842-6050,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,4:00 PM - 7:00 PM,10:00 AM - 2:00 PM,,,,,"<a href=""nyhre.org"">Visit this organization's website</a>",3,232053631
26,Drug and Alcohol Services,Syringe Service Programs,Positive Health Project: Syringe Service Programs,,301 West 37 Street,,Manhattan,40.754279,10018,-73.9925,(646) 602-6404,After 5:00 PM hours on Wednesday and Thursday for transgender participants only,/Date(-2208970800000)/,/Date(-2208970800000)/,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 5:00 PM,10:00 AM - 2:00 PM,,"<a href=""positivehealthproject.org"">Visit this organization's website</a>",3,232053632
27,Drug and Alcohol Services,Syringe Service Programs,Safe Horizon Streetwork: Syringe Service Programs,,33 Essex Street,,Manhattan,40.715932,10002,-73.989571,(646) 602-6404,24 year old and under,/Date(-2208970800000)/,/Date(-2208970800000)/,1:00 PM - 5:00 PM,1:00 PM - 5:00 PM,,1:00 PM - 5:00 PM,1:00 PM - 5:00 PM,,1:00 PM - 5:00 PM,"<a href=""https://www.safehorizon.org/streetwork/"">Visit this organization's website</a>",3,232053633
28,Drug and Alcohol Services,Syringe Service Programs,Safe Horizon Streetwork: Syringe Service Programs,,209 W 125th Street,,Brooklyn,40.8092853,11212,-73.9487888,(646) 602-6404,24 year old and under,/Date(-2208970800000)/,/Date(-2208970800000)/,1:00 PM - 5:00 PM,1:00 PM - 5:00 PM,,,,1:00 PM - 5:00 PM,1:00 PM - 5:00 PM,"<a href=""https://www.safehorizon.org/streetwork/"">Visit this organization's website</a>",3,232053634
29,Drug and Alcohol Services,Syringe Service Programs,St. Ann's Corner of Harm Reduction: Syringe Service Programs,,"E 139th ST, St. Ann's Ave",,Bronx,40.8075129,10454,-73.9170241,(718) 585-5544,Mobile Site,/Date(-2208970800000)/,/Date(-2208970800000)/,,10:00 AM - 2:00 PM,,,3:30 PM - 6:30 PM,,,"<a href=""sachr.org"">Visit this organization's website</a>",3,232053635
30,Drug and Alcohol Services,Syringe Service Programs,St. Ann's Corner of Harm Reduction: Syringe Service Programs,,886 Westchester Avenue,,Bronx,40.8203762,10459,-73.8994688,(718) 585-5544,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,6:00 PM - 12:00 AM,9:00 AM - 2:00 PM,"<a href=""sachr.org"">Visit this organization's website</a>",3,232053636
31,Drug and Alcohol Services,Syringe Service Programs,Washington Heights CORNER Project: Syringe Service Programs,,"500 West 180th Street, 2nd Floor",,Manhattan,40.8475105,10033,-73.9318287,800-761-6990/718-842-6050,,/Date(-2208970800000)/,/Date(-2208970800000)/,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,"<a href=""http://www.cornerproject.org/health-services/"">Visit this organization's website</a>",3,232053637
